   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   0.00    4.282    4.283    4.364   -0.056   -0.837   -0.718   -0.056   -0.837    0.601    0.040    0.047    0.610    0.302
   0.05    4.487    4.489    4.561   -0.121   -0.806   -0.513   -0.121   -0.806    0.413    0.062    0.098    0.464    0.215
   0.10    4.542    4.545    4.573    0.148   -0.505   -0.458    0.148   -0.505    0.231   -0.068   -0.075    0.243    0.126
   0.15    4.472    4.472    4.556   -0.060   -0.873   -0.528   -0.060   -0.873    0.461    0.032    0.053    0.523    0.233
   0.20    4.383    4.383    4.466    0.058   -0.859   -0.617    0.058   -0.859    0.531   -0.036   -0.050    0.561    0.267
   0.25    4.762    4.777    4.831    0.379   -0.717   -0.238    0.379   -0.717    0.170   -0.090   -0.272    0.357    0.167
   0.30    4.775    4.806    4.858    0.542   -0.708   -0.225    0.542   -0.708    0.159   -0.122   -0.384    0.423    0.216
   0.35    4.631    4.680    4.742    0.680   -0.764   -0.369    0.680   -0.764    0.282   -0.251   -0.519    0.591    0.321
   0.40    4.437    4.461    4.596    0.458   -1.107   -0.563    0.458   -1.107    0.623   -0.258   -0.507    0.876    0.422
   0.45    4.378    4.410    4.563    0.533   -1.171   -0.622    0.533   -1.171    0.728   -0.331   -0.624    1.020    0.507
   0.50    4.008    4.038    4.130    0.487   -0.868   -0.992    0.487   -0.868    0.861   -0.483   -0.423    0.988    0.537
   0.55    4.044    4.117    4.185    0.770   -0.752   -0.956    0.770   -0.752    0.719   -0.736   -0.579    1.036    0.590
   0.60    4.247    4.347    4.402    0.924   -0.695   -0.753    0.924   -0.695    0.523   -0.695   -0.642    0.952    0.541
   0.65    4.547    4.628    4.673    0.864   -0.647   -0.453    0.864   -0.647    0.293   -0.392   -0.559    0.685    0.372
   0.70    4.524    4.589    4.610    0.772   -0.432   -0.476    0.772   -0.432    0.206   -0.367   -0.333    0.504    0.268
   0.75    4.449    4.489    4.526    0.598   -0.574   -0.551    0.598   -0.574    0.316   -0.329   -0.343    0.495    0.286
   0.80    4.523    4.555    4.575    0.533   -0.426   -0.477    0.533   -0.426    0.203   -0.254   -0.227    0.346    0.198
   0.85    4.486    4.552    4.594    0.774   -0.617   -0.514    0.774   -0.617    0.317   -0.398   -0.478    0.622    0.349
   0.90    4.286    4.408    4.496    1.029   -0.885   -0.714    1.029   -0.885    0.632   -0.735   -0.911    1.177    0.665
   0.95    4.756    4.826    4.882    0.819   -0.737   -0.244    0.819   -0.737    0.180   -0.200   -0.603    0.636    0.330
   1.00    4.544    4.631    4.694    0.895   -0.768   -0.456    0.895   -0.768    0.351   -0.408   -0.688    0.800    0.437
   1.05    4.321    4.397    4.453    0.809   -0.706   -0.679    0.809   -0.706    0.479   -0.549   -0.572    0.807    0.463
   1.10    4.436    4.538    4.584    0.958   -0.644   -0.564    0.958   -0.644    0.363   -0.540   -0.617    0.825    0.448
   1.15    4.462    4.562    4.614    0.950   -0.693   -0.538    0.950   -0.693    0.373   -0.512   -0.658    0.836    0.457
   1.20    4.669    4.815    4.838    1.177   -0.470   -0.331    1.177   -0.470    0.156   -0.390   -0.554    0.859    0.347
   1.25    4.602    4.725    4.812    1.070   -0.913   -0.398    1.070   -0.913    0.363   -0.425   -0.977    1.068    0.563
   1.30    4.520    4.644    4.694    1.065   -0.681   -0.480    1.065   -0.681    0.327   -0.511   -0.726    0.915    0.473
   1.35    4.213    4.374    4.397    1.175   -0.447   -0.787    1.175   -0.447    0.351   -0.924   -0.525    1.099    0.560
   1.40    3.933    4.105    4.117    1.174   -0.323   -1.067    1.174   -0.323    0.345   -1.253   -0.380    1.311    0.677
   1.45    4.317    4.549    4.557    1.434   -0.274   -0.683    1.434   -0.274    0.187   -0.980   -0.394    1.299    0.536
   1.50    3.905    4.115    4.121    1.297   -0.233   -1.095    1.297   -0.233    0.255   -1.420   -0.302    1.468    0.737
   1.55    4.129    4.276    4.278    1.110   -0.139   -0.871    1.110   -0.139    0.121   -0.967   -0.154    1.005    0.493
   1.60    4.044    4.204    4.208    1.149   -0.183   -0.956    1.149   -0.183    0.175   -1.098   -0.210    1.133    0.566
   1.65    4.341    4.463    4.475    1.036   -0.330   -0.659    1.036   -0.330    0.217   -0.683   -0.341    0.808    0.397
   1.70    4.135    4.264    4.270    1.040   -0.237   -0.865    1.040   -0.237    0.205   -0.899   -0.246    0.942    0.477
   1.75    4.225    4.399    4.400    1.228   -0.027   -0.775    1.228   -0.027    0.021   -0.952   -0.033    1.055    0.476
   1.80    4.306    4.472    4.480    1.208   -0.264   -0.694    1.208   -0.264    0.183   -0.839   -0.318    1.006    0.458
   1.85    4.062    4.195    4.196    1.048   -0.083   -0.938    1.048   -0.083    0.078   -0.983   -0.087    0.993    0.495
   1.90    4.284    4.350    4.360    0.754    0.303   -0.716    0.754    0.303   -0.217   -0.540    0.229    0.587    0.313
   1.95    4.235    4.242    4.247    0.246    0.200   -0.765    0.246    0.200   -0.153   -0.188    0.049    0.343    0.124
   2.00    4.319    4.320    4.320   -0.104   -0.001   -0.681   -0.104   -0.001    0.001    0.071    0.000    0.237    0.035
   2.05    4.173    4.179    4.179    0.231    0.018   -0.827    0.231    0.018   -0.015   -0.191    0.004    0.369    0.096
   2.10    3.979    3.996    3.997    0.362    0.110   -1.021    0.362    0.110   -0.112   -0.370    0.040    0.593    0.194
   2.15    4.096    4.100    4.134    0.164    0.535   -0.904    0.164    0.535   -0.484   -0.148    0.088    0.565    0.257
   2.20    3.935    3.935    3.962   -0.062    0.459   -1.065   -0.062    0.459   -0.489    0.066   -0.029    0.675    0.247
   2.25    3.936    3.953    3.980    0.368    0.457   -1.064    0.368    0.457   -0.487   -0.391    0.168    0.738    0.323
   2.30    3.640    3.668    3.695    0.453    0.444   -1.360    0.453    0.444   -0.604   -0.617    0.201    1.127    0.443
   2.35    3.782    3.835    3.836    0.634    0.104   -1.218    0.634    0.104   -0.127   -0.773    0.066    0.948    0.393
   2.40    3.969    4.083    4.093    0.959    0.280   -1.031    0.959    0.280   -0.289   -0.989    0.269    1.030    0.532
   2.45    3.985    4.142    4.166    1.131    0.446   -1.015    1.131    0.446   -0.453   -1.148    0.505    1.254    0.667
   2.50    3.832    4.075    4.096    1.387    0.413   -1.168    1.387    0.413   -0.483   -1.621    0.573    1.730    0.893
   2.55    3.699    3.877    3.878    1.160   -0.111   -1.301    1.160   -0.111    0.145   -1.508   -0.129    1.524    0.760
   2.60    4.130    4.283    4.285    1.132   -0.151   -0.870    1.132   -0.151    0.131   -0.984   -0.170    1.030    0.504
   2.65    4.173    4.241    4.241    0.751    0.024   -0.827    0.751    0.024   -0.020   -0.621    0.018    0.624    0.311
   2.70    3.926    3.979    3.980    0.648    0.102   -1.074    0.648    0.102   -0.110   -0.696    0.066    0.792    0.354
   2.75    3.783    3.849    3.849    0.712   -0.059   -1.217    0.712   -0.059    0.072   -0.866   -0.042    0.996    0.435
   2.80    3.930    3.995    4.002    0.716    0.233   -1.070    0.716    0.233   -0.250   -0.766    0.167    0.856    0.412
   2.85    3.900    3.977    3.985    0.779    0.248   -1.100    0.779    0.248   -0.272   -0.857    0.193    0.939    0.460
   2.90    3.801    3.908    3.909    0.907   -0.099   -1.199    0.907   -0.099    0.119   -1.088   -0.090    1.135    0.549
   2.95    3.853    3.924    3.940    0.745   -0.353   -1.147    0.745   -0.353    0.404   -0.855   -0.263    0.998    0.491
   3.00    4.143    4.267    4.280    1.023   -0.333   -0.857    1.023   -0.333    0.286   -0.877   -0.341    0.947    0.492
   3.05    4.369    4.534    4.552    1.214   -0.408   -0.631    1.214   -0.408    0.258   -0.767   -0.495    1.019    0.474
   3.10    4.246    4.398    4.538    1.145   -1.119   -0.754    1.145   -1.119    0.843   -0.863   -1.281    1.565    0.880
   3.15    4.217    4.381    4.574    1.185   -1.317   -0.783    1.185   -1.317    1.031   -0.927   -1.560    1.875    1.043
   3.20    4.032    4.136    4.304    0.923   -1.190   -0.968    0.923   -1.190    1.153   -0.894   -1.099    1.604    0.913
   3.25    4.209    4.286    4.358    0.811   -0.789   -0.791    0.811   -0.789    0.625   -0.642   -0.641    0.954    0.551
   3.30    4.135    4.191    4.326    0.684   -1.071   -0.865    0.684   -1.071    0.926   -0.591   -0.732    1.181    0.660
   3.35    3.820    3.956    4.066    1.028   -0.943   -1.180    1.028   -0.943    1.113   -1.214   -0.970    1.670    0.955
   3.40    3.791    3.898    4.056    0.907   -1.122   -1.209    0.907   -1.122    1.357   -1.096   -1.017    1.771    1.010
   3.45    3.652    3.748    3.913    0.843   -1.125   -1.348    0.843   -1.125    1.517   -1.137   -0.949    1.897    1.060
   3.50    3.603    3.637    3.802    0.501   -1.108   -1.397    0.501   -1.108    1.548   -0.701   -0.556    1.716    0.894
   3.55    3.643    3.678    3.837    0.506   -1.094   -1.357    0.506   -1.094    1.484   -0.687   -0.554    1.647    0.863
   3.60    3.644    3.728    3.884    0.786   -1.090   -1.356    0.786   -1.090    1.478   -1.065   -0.856    1.822    1.007
   3.65    3.657    3.703    3.788    0.581   -0.796   -1.343    0.581   -0.796    1.069   -0.781   -0.463    1.388    0.701
   3.70    3.600    3.695    3.744    0.832   -0.602   -1.400    0.832   -0.602    0.842   -1.165   -0.501    1.507    0.761
   3.75    3.490    3.512    3.587    0.400   -0.728   -1.510    0.400   -0.728    1.099   -0.604   -0.291    1.486    0.644
   3.80    3.558    3.559    3.620    0.101   -0.662   -1.442    0.101   -0.662    0.954   -0.146   -0.067    1.264    0.484
   3.85    3.367    3.375    3.429   -0.241   -0.604   -1.633   -0.241   -0.604    0.987    0.393    0.145    1.546    0.536
   3.90    3.594    3.619    3.661   -0.430   -0.553   -1.406   -0.430   -0.553    0.777    0.605    0.238    1.234    0.507
   3.95    3.498    3.551    3.632   -0.610   -0.761   -1.502   -0.610   -0.761    1.142    0.916    0.464    1.603    0.768
   4.00    3.157    3.207    3.314   -0.562   -0.835   -1.843   -0.562   -0.835    1.539    1.036    0.469    2.204    0.957
   4.05    3.066    3.087    3.239   -0.360   -0.982   -1.934   -0.360   -0.982    1.900    0.697    0.354    2.418    1.027
   4.10    2.832    2.839    3.051   -0.211   -1.116   -2.168   -0.211   -1.116    2.421    0.457    0.235    2.996    1.237
   4.15    3.083    3.111    3.330   -0.419   -1.186   -1.917   -0.419   -1.186    2.274    0.804    0.497    2.629    1.231
   4.20    3.081    3.109    3.359   -0.418   -1.271   -1.919   -0.418   -1.271    2.440    0.803    0.532    2.738    1.312
   4.25    3.096    3.123    3.273   -0.404   -0.979   -1.904   -0.404   -0.979    1.864    0.769    0.396    2.373    1.027
   4.30    2.964    3.013    3.205   -0.541   -1.091   -2.036   -0.541   -1.091    2.220    1.102    0.590    2.813    1.274
   4.35    2.538    2.621    2.828   -0.655   -1.062   -2.462   -0.655   -1.062    2.615    1.612    0.695    3.809    1.575
   4.40    2.709    2.776    2.944   -0.607   -0.980   -2.291   -0.607   -0.980    2.245    1.390    0.595    3.289    1.353
   4.45    2.512    2.579    2.919   -0.587   -1.367   -2.488   -0.587   -1.367    3.401    1.461    0.802    4.202    1.894
   4.50    2.471    2.544    3.049   -0.606   -1.680   -2.529   -0.606   -1.680    4.249    1.532    1.018    4.793    2.315
   4.55    2.503    2.539    3.071   -0.430   -1.726   -2.497   -0.430   -1.726    4.311    1.073    0.742    4.700    2.252
   4.60    2.330    2.397    2.980   -0.561   -1.772   -2.670   -0.561   -1.772    4.731    1.499    0.995    5.292    2.531
   4.65    2.412    2.437    2.747   -0.350   -1.268   -2.588   -0.350   -1.268    3.283    0.907    0.444    4.215    1.717
   4.70    2.388    2.389    2.569   -0.071   -0.943   -2.612   -0.071   -0.943    2.463    0.185    0.067    3.858    1.235
   4.75    2.134    2.148    2.418   -0.246   -1.110   -2.866   -0.246   -1.110    3.182    0.705    0.273    4.753    1.635
   4.80    2.067    2.139    2.412   -0.551   -1.114   -2.933   -0.551   -1.114    3.266    1.616    0.614    5.074    1.848
   4.85    2.015    2.067    2.483   -0.462   -1.377   -2.985   -0.462   -1.377    4.110    1.381    0.637    5.511    2.191
   4.90    1.824    1.877    2.324   -0.442   -1.370   -3.176   -0.442   -1.370    4.350    1.404    0.605    6.079    2.306
   4.95    1.981    1.997    2.411   -0.251   -1.351   -3.019   -0.251   -1.351    4.079    0.759    0.339    5.502    2.081
   5.00    1.807    1.814    2.146   -0.163   -1.146   -3.193   -0.163   -1.146    3.659    0.522    0.187    5.768    1.851
   5.05    1.753    1.755    2.087   -0.076   -1.129   -3.247   -0.076   -1.129    3.666    0.247    0.086    5.912    1.838
   5.10    1.755    1.770    2.118    0.230   -1.162   -3.245    0.230   -1.162    3.771   -0.747   -0.268    5.966    1.927
   5.15    2.047    2.062    2.437    0.246   -1.300   -2.953    0.246   -1.300    3.840   -0.725   -0.319    5.236    1.960
   5.20    2.439    2.465    3.018    0.358   -1.741   -2.561    0.358   -1.741    4.458   -0.917   -0.623    4.858    2.297
   5.25    2.212    2.230    2.682    0.289   -1.489   -2.788    0.289   -1.489    4.151   -0.806   -0.430    5.037    2.125
   5.30    2.108    2.129    2.610    0.299   -1.510   -2.892    0.299   -1.510    4.368   -0.865   -0.452    5.367    2.238
   5.35    2.272    2.285    2.933    0.246   -1.838   -2.728    0.246   -1.838    5.015   -0.672   -0.453    5.441    2.540
   5.40    2.270    2.316    2.941    0.462   -1.812   -2.730    0.462   -1.812    4.947   -1.262   -0.838    5.475    2.587
   5.45    2.304    2.347    2.980    0.449   -1.837   -2.696    0.449   -1.837    4.952   -1.211   -0.825    5.422    2.582
   5.50    2.175    2.229    2.793    0.487   -1.683   -2.825    0.487   -1.683    4.754   -1.377   -0.820    5.525    2.508
   5.55    2.123    2.200    2.828    0.578   -1.777   -2.877    0.578   -1.777    5.112   -1.662   -1.026    5.884    2.736
   5.60    2.297    2.368    2.876    0.575   -1.632   -2.703    0.575   -1.632    4.411   -1.555   -0.939    5.150    2.385
   5.65    2.242    2.315    3.044    0.575   -1.976   -2.758    0.575   -1.976    5.450   -1.586   -1.137    5.921    2.895
   5.70    2.151    2.179    3.291    0.350   -2.466   -2.849    0.350   -2.466    7.026   -0.996   -0.862    7.160    3.574
   5.75    1.926    1.927    2.979   -0.034   -2.273   -3.074   -0.034   -2.273    6.986    0.104    0.077    7.308    3.494
   5.80    1.837    1.839    3.005    0.072   -2.377   -3.163    0.072   -2.377    7.519   -0.228   -0.171    7.830    3.762
   5.85    1.889    1.892    2.818    0.106   -2.089   -3.111    0.106   -2.089    6.498   -0.330   -0.222    7.026    3.255
   5.90    2.008    2.017    2.598    0.183   -1.638   -2.992    0.183   -1.638    4.899   -0.547   -0.299    5.833    2.469
   5.95    2.255    2.257    2.756   -0.098   -1.582   -2.745   -0.098   -1.582    4.343    0.269    0.155    5.024    2.177
   6.00    2.274    2.274    2.989   -0.023   -1.940   -2.726   -0.023   -1.940    5.291    0.062    0.044    5.600    2.646
   6.05    2.255    2.256    2.919    0.071   -1.851   -2.745    0.071   -1.851    5.082   -0.194   -0.131    5.483    2.544
   6.10    2.164    2.182    2.670    0.272   -1.540   -2.836    0.272   -1.540    4.367   -0.771   -0.419    5.243    2.227
   6.15    2.008    2.039    2.377    0.358   -1.222   -2.992    0.358   -1.222    3.656   -1.070   -0.437    5.287    1.917
   6.20    1.964    2.017    2.373    0.458   -1.250   -3.036    0.458   -1.250    3.795   -1.390   -0.572    5.494    2.041
   6.25    1.621    1.823    2.326    0.835   -1.444   -3.379    0.835   -1.444    4.881   -2.822   -1.206    7.102    2.883
   6.30    1.763    1.995    2.395    0.934   -1.325   -3.237    0.934   -1.325    4.288   -3.023   -1.237    6.552    2.695
