   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   0.00   12.357   12.366   12.366   -0.466    0.081   -0.643   -0.466    0.081   -0.052    0.300   -0.038    0.318    0.153
   0.05   12.245   12.254   12.254   -0.480   -0.000   -0.755   -0.480   -0.000    0.000    0.362    0.000    0.400    0.181
   0.10   12.252   12.259   12.259   -0.398    0.029   -0.748   -0.398    0.029   -0.022    0.297   -0.012    0.359    0.149
   0.15   12.341   12.348   12.349   -0.432   -0.039   -0.659   -0.432   -0.039    0.026    0.285    0.017    0.311    0.143
   0.20   12.249   12.261   12.261   -0.547   -0.050   -0.751   -0.547   -0.050    0.038    0.411    0.027    0.433    0.207
   0.25   12.101   12.110   12.110   -0.468    0.094   -0.899   -0.468    0.094   -0.084    0.421   -0.044    0.519    0.216
   0.30   11.987   11.992   11.994   -0.354    0.188   -1.013   -0.354    0.188   -0.191    0.358   -0.067    0.593    0.206
   0.35   11.903   11.912   11.913   -0.454    0.174   -1.097   -0.454    0.174   -0.191    0.498   -0.079    0.720    0.270
   0.40   11.968   11.982   11.984   -0.574    0.230   -1.032   -0.574    0.230   -0.238    0.592   -0.132    0.724    0.326
   0.45   12.027   12.041   12.042   -0.572    0.179   -0.973   -0.572    0.179   -0.174    0.556   -0.102    0.653    0.296
   0.50   11.941   11.944   11.944   -0.270    0.088   -1.059   -0.270    0.088   -0.093    0.286   -0.024    0.601    0.151
   0.55   11.867   11.868   11.871   -0.176    0.279   -1.133   -0.176    0.279   -0.316    0.199   -0.049    0.696    0.188
   0.60   11.768   11.770   11.771   -0.220    0.144   -1.232   -0.220    0.144   -0.177    0.271   -0.032    0.794    0.163
   0.65   12.010   12.011   12.011   -0.163   -0.046   -0.990   -0.163   -0.046    0.045    0.162    0.007    0.504    0.084
   0.70   12.047   12.047   12.048   -0.104   -0.148   -0.953   -0.104   -0.148    0.141    0.099    0.015    0.471    0.087
   0.75   12.024   12.026   12.026   -0.210    0.090   -0.976   -0.210    0.090   -0.088    0.205   -0.019    0.502    0.112
   0.80   12.100   12.101   12.101   -0.073    0.050   -0.900   -0.073    0.050   -0.045    0.066   -0.004    0.409    0.040
   0.85   12.046   12.046   12.048    0.017    0.247   -0.954    0.017    0.247   -0.236   -0.017    0.004    0.486    0.118
   0.90   12.023   12.023   12.028    0.027    0.346   -0.977    0.027    0.346   -0.338   -0.026    0.009    0.537    0.169
   0.95   12.012   12.013   12.015    0.139    0.253   -0.988    0.139    0.253   -0.250   -0.137    0.035    0.530    0.144
   1.00   12.102   12.103   12.104    0.148    0.137   -0.898    0.148    0.137   -0.123   -0.133    0.020    0.424    0.091
   1.05   12.038   12.040   12.042    0.227    0.226   -0.962    0.227    0.226   -0.218   -0.218    0.051    0.514    0.156
   1.10   12.143   12.145   12.145    0.235    0.002   -0.857    0.235    0.002   -0.002   -0.202    0.001    0.395    0.101
   1.15   12.310   12.312   12.312    0.198   -0.035   -0.690    0.198   -0.035    0.024   -0.136   -0.007    0.258    0.069
   1.20   12.266   12.267   12.267    0.201    0.030   -0.734    0.201    0.030   -0.022   -0.148    0.006    0.290    0.075
   1.25   12.324   12.326   12.327    0.214    0.153   -0.676    0.214    0.153   -0.103   -0.144    0.033    0.263    0.090
   1.30   12.253   12.255   12.255    0.202    0.064   -0.747    0.202    0.064   -0.048   -0.151    0.013    0.301    0.079
   1.35   12.265   12.268   12.268    0.274   -0.086   -0.735    0.274   -0.086    0.064   -0.202   -0.024    0.312    0.106
   1.40   12.328   12.328   12.328    0.136    0.048   -0.672    0.136    0.048   -0.032   -0.092    0.007    0.237    0.049
   1.45   12.186   12.188   12.189    0.232    0.112   -0.814    0.232    0.112   -0.091   -0.189    0.026    0.364    0.106
   1.50   12.220   12.222   12.224    0.206    0.246   -0.780    0.206    0.246   -0.192   -0.161    0.051    0.356    0.128
   1.55   12.196   12.199   12.199    0.275    0.084   -0.804    0.275    0.084   -0.067   -0.222    0.023    0.365    0.116
   1.60   12.280   12.283   12.283    0.243    0.120   -0.720    0.243    0.120   -0.087   -0.175    0.029    0.296    0.099
   1.65   12.374   12.375   12.379    0.195    0.279   -0.626    0.195    0.279   -0.175   -0.122    0.054    0.254    0.110
   1.70   12.424   12.425   12.429    0.082    0.343   -0.576    0.082    0.343   -0.197   -0.047    0.028    0.228    0.102
   1.75   12.410   12.412   12.416    0.229    0.308   -0.590    0.229    0.308   -0.182   -0.135    0.071    0.248    0.119
   1.80   12.343   12.345   12.346    0.240    0.133   -0.657    0.240    0.133   -0.087   -0.158    0.032    0.253    0.091
   1.85   12.377   12.377   12.378    0.018    0.063   -0.623    0.018    0.063   -0.039   -0.011    0.001    0.196    0.020
   1.90   12.302   12.302   12.302   -0.008    0.019   -0.698   -0.008    0.019   -0.013    0.006   -0.000    0.244    0.007
   1.95   12.323   12.324   12.324    0.128    0.099   -0.677    0.128    0.099   -0.067   -0.087    0.013    0.242    0.055
   2.00   12.336   12.337   12.339    0.188    0.243   -0.664    0.188    0.243   -0.161   -0.125    0.046    0.268    0.105
   2.05   12.244   12.249   12.251    0.349    0.207   -0.756    0.349    0.207   -0.157   -0.264    0.072    0.368    0.158
   2.10   12.091   12.093   12.093    0.215   -0.033   -0.909    0.215   -0.033    0.030   -0.196   -0.007    0.437    0.099
   2.15   12.177   12.177   12.177   -0.026    0.101   -0.823   -0.026    0.101   -0.083    0.021   -0.003    0.344    0.043
   2.20   12.024   12.024   12.024    0.027    0.116   -0.976    0.027    0.116   -0.113   -0.026    0.003    0.484    0.058
   2.25   11.951   11.951   11.951    0.072    0.094   -1.049    0.072    0.094   -0.099   -0.076    0.007    0.558    0.062
   2.30   12.093   12.100   12.105    0.421    0.322   -0.907    0.421    0.322   -0.292   -0.382    0.135    0.552    0.250
   2.35   12.110   12.117   12.122    0.411    0.372   -0.890    0.411    0.372   -0.331   -0.366    0.153    0.550    0.258
