   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   0.00   23.058   23.087   23.107   -1.137    0.984    0.058   -1.137    0.984    0.058   -0.067   -1.119    1.132    0.561
   0.05   22.853   22.922   22.938   -1.775    0.860   -0.147   -1.775    0.860   -0.126    0.261   -1.525    1.955    0.776
   0.10   21.914   22.005   22.033   -1.998    1.108   -1.086   -1.998    1.108   -1.203    2.169   -2.214    3.199    1.662
   0.15   21.892   22.070   22.083   -2.798    0.745   -1.108   -2.798    0.745   -0.826    3.101   -2.085    4.807    1.913
   0.20   21.840   21.994   21.994   -2.602    0.089   -1.160   -2.602    0.089   -0.103    3.019   -0.231    4.062    1.515
   0.25   21.819   21.897   21.899   -1.854   -0.269   -1.181   -1.854   -0.269    0.318    2.190    0.499    2.453    1.134
   0.30   21.590   21.755   21.756   -2.676    0.175   -1.410   -2.676    0.175   -0.246    3.773   -0.468    4.590    1.905
   0.35   22.240   22.408   22.419   -2.740    0.685   -0.760   -2.740    0.685   -0.521    2.083   -1.877    4.278    1.426
   0.40   23.245   23.411   23.416   -2.788   -0.465    0.245   -2.788   -0.465   -0.114   -0.683    1.297    4.025    0.735
   0.45   23.673   23.937   23.949   -3.547   -0.775    0.673   -3.547   -0.775   -0.521   -2.386    2.750    6.816    1.839
   0.50   23.430   23.652   23.679   -3.232   -1.134    0.430   -3.232   -1.134   -0.488   -1.391    3.666    5.959    1.976
   0.55   22.601   22.764   22.772   -2.722   -0.607   -0.399   -2.722   -0.607    0.243    1.087    1.653    3.969    0.997
   0.60   22.372   22.603   22.610   -3.221   -0.547   -0.628   -3.221   -0.547    0.343    2.022    1.762    5.535    1.352
   0.65   22.407   22.620   22.634   -3.102   -0.771   -0.593   -3.102   -0.771    0.457    1.840    2.391    5.284    1.526
   0.70   22.565   22.790   22.800   -3.196   -0.694   -0.435   -3.196   -0.694    0.302    1.392    2.218    5.444    1.318
   0.75   21.500   21.905   21.923   -4.192   -0.897   -1.500   -4.192   -0.897    1.345    6.289    3.759   10.315    3.725
   0.80   22.064   22.400   22.417   -3.866   -0.874   -0.936   -3.866   -0.874    0.817    3.618    3.377    8.293    2.508
   0.85   22.364   22.644   22.704   -3.552   -1.639   -0.636   -3.552   -1.639    1.042    2.259    5.823    7.855    3.166
   0.90   21.769   22.053   22.175   -3.526   -2.322   -1.231   -3.526   -2.322    2.859    4.341    8.190    9.672    4.850
   0.95   22.332   22.479   22.596   -2.569   -2.293   -0.668   -2.569   -2.293    1.532    1.716    5.891    6.152    3.162
   1.00   22.994   23.207   23.217   -3.136   -0.697   -0.006   -3.136   -0.697    0.004    0.019    2.187    5.159    1.093
   1.05   22.194   22.299   22.303   -2.166    0.411   -0.806   -2.166    0.411   -0.331    1.747   -0.890    2.756    0.994
   1.10   21.712   21.892   21.893   -2.801   -0.167   -1.288   -2.801   -0.167    0.215    3.606    0.467    4.764    1.821
   1.15   21.889   21.942   21.949   -1.520   -0.579   -1.111   -1.520   -0.579    0.643    1.689    0.880    1.941    1.005
   1.20   22.174   22.217   22.235   -1.387   -0.903   -0.826   -1.387   -0.903    0.746    1.146    1.253    1.711    0.927
   1.25   21.588   21.621   21.625   -1.179   -0.431   -1.412   -1.179   -0.431    0.608    1.665    0.508    1.784    0.922
   1.30   20.849   20.892   20.937   -1.332   -1.374   -2.151   -1.332   -1.374    2.956    2.865    1.831    4.145    2.253
   1.35   21.100   21.133   21.199   -1.179   -1.672   -1.900   -1.179   -1.672    3.176    2.239    1.971    3.897    2.179
   1.40   20.700   20.715   20.805   -0.804   -1.934   -2.300   -0.804   -1.934    4.450    1.850    1.555    4.840    2.532
   1.45   20.686   20.704   20.738   -0.857   -1.200   -2.314   -0.857   -1.200    2.776    1.984    1.029    3.765    1.782
   1.50   21.279   21.343   21.387   -1.651   -1.360   -1.721   -1.651   -1.360    2.340    2.840    2.245    3.768    2.155
   1.55   21.612   21.712   21.776   -2.082   -1.667   -1.388   -2.082   -1.667    2.313    2.889    3.469    4.519    2.536
   1.60   21.139   21.181   21.224   -1.344   -1.351   -1.861   -1.344   -1.351    2.515    2.501    1.816    3.548    1.992
   1.65   20.121   20.122   20.199   -0.123   -1.760   -2.879   -0.123   -1.760    5.067    0.353    0.216    5.700    2.542
   1.70   20.505   20.506   20.545   -0.211   -1.251   -2.495   -0.211   -1.251    3.120    0.527    0.264    3.916    1.587
   1.75   19.998   20.126   20.162   -2.266   -1.202   -3.002   -2.266   -1.202    3.607    6.802    2.723    7.795    4.083
   1.80   19.733   19.852   19.852   -2.171   -0.044   -3.267   -2.171   -0.044    0.144    7.095    0.096    7.697    3.549
   1.85   19.731   19.824   19.828   -1.923    0.373   -3.269   -1.923    0.373   -1.219    6.288   -0.717    7.263    3.222
   1.90   19.832   19.967   19.985   -2.321    0.851   -3.168   -2.321    0.851   -2.696    7.352   -1.975    8.073    4.038
   1.95   20.119   20.342   20.351   -3.001    0.624   -2.881   -3.001    0.624   -1.796    8.645   -1.871    8.847    4.513
   2.00   20.245   20.573   20.601   -3.659   -1.076   -2.755   -3.659   -1.076    2.964   10.081    3.937   11.068    5.610
   2.05   19.969   20.238   20.301   -3.285   -1.604   -3.031   -3.285   -1.604    4.861    9.957    5.269   11.276    6.135
   2.10   20.119   20.334   20.421   -2.948   -1.882   -2.881   -2.948   -1.882    5.421    8.494    5.548   10.266    5.751
   2.15   20.302   20.571   20.648   -3.315   -1.790   -2.698   -3.315   -1.790    4.830    8.944    5.934   10.736    5.885
   2.20   20.323   20.669   20.740   -3.769   -1.718   -2.677   -3.769   -1.718    4.599   10.090    6.474   12.161    6.420
   2.25   19.548   19.883   20.162   -3.632   -3.345   -3.452   -3.632   -3.345   11.546   12.537   12.147   18.146   10.464
   2.30   19.540   19.934   20.183   -3.944   -3.161   -3.460   -3.944   -3.161   10.936   13.648   12.466   18.760   10.739
   2.35   20.073   20.479   20.674   -4.059   -2.832   -2.927   -4.059   -2.832    8.291   11.881   11.494   16.531    9.247
   2.40   20.161   20.545   20.707   -3.956   -2.581   -2.839   -3.956   -2.581    7.328   11.233   10.210   15.187    8.428
   2.45   19.324   19.503   19.708   -2.635   -2.841   -3.676   -2.635   -2.841   10.443    9.688    7.486   14.265    8.046
   2.50   19.383   19.439   19.711   -1.482   -3.264   -3.617   -1.482   -3.264   11.805    5.362    4.838   12.966    6.919
   2.55   19.181   19.222   19.389   -1.258   -2.534   -3.819   -1.258   -2.534    9.678    4.805    3.189   11.295    5.633
   2.60   19.255   19.289   19.337   -1.148   -1.353   -3.745   -1.148   -1.353    5.066    4.300    1.553    8.586    3.412
   2.65   19.137   19.162   19.195   -0.982   -1.134   -3.863   -0.982   -1.134    4.382    3.795    1.114    8.588    2.952
   2.70   19.677   19.693   19.720   -0.789   -1.029   -3.323   -0.789   -1.029    3.419    2.621    0.811    6.362    2.192
   2.75   20.865   20.865   20.868    0.151   -0.368   -2.135    0.151   -0.368    0.785   -0.323   -0.056    2.359    0.425
   2.80   20.958   20.959   20.961   -0.229    0.275   -2.042   -0.229    0.275   -0.562    0.468   -0.063    2.149    0.367
   2.85   21.032   21.037   21.057   -0.478    0.924   -1.968   -0.478    0.924   -1.819    0.942   -0.442    2.479    1.048
   2.90   21.632   21.637   21.663   -0.436    1.073   -1.368   -0.436    1.073   -1.468    0.596   -0.468    1.606    0.826
   2.95   21.486   21.486   21.523   -0.183    1.257   -1.514   -0.183    1.257   -1.904    0.278   -0.231    1.954    0.969
   3.00   20.530   20.545   20.567   -0.781    0.951   -2.470   -0.781    0.951   -2.350    1.928   -0.743    3.807    1.565
