   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   0.00   18.687   18.761   18.949   -1.656   -2.662   -1.313   -1.656   -2.662    3.494    2.173    4.408    5.776    3.015
   0.05   18.996   19.109   19.333   -2.074   -2.935   -1.004   -2.074   -2.935    2.947    2.083    6.087    6.961    3.538
   0.10   18.798   18.909   19.224   -2.048   -3.468   -1.202   -2.048   -3.468    4.169    2.462    7.102    8.833    4.298
   0.15   18.273   18.351   18.715   -1.691   -3.674   -1.727   -1.691   -3.674    6.345    2.921    6.215    9.672    4.675
   0.20   18.175   18.230   18.470   -1.411   -2.972   -1.825   -1.411   -2.972    5.423    2.574    4.192    7.075    3.661
   0.25   18.376   18.386   18.556   -0.619   -2.502   -1.624   -0.619   -2.502    4.064    1.005    1.549    4.641    2.232
   0.30   17.629   17.637   17.844   -0.554   -2.709   -2.371   -0.554   -2.709    6.423    1.314    1.501    6.634    3.363
   0.35   17.399   17.399   17.592    0.030   -2.601   -2.601    0.030   -2.601    6.764   -0.078   -0.078    6.765    3.383
   0.40   17.549   17.567   17.702   -0.785   -2.184   -2.451   -0.785   -2.184    5.353    1.923    1.713    5.696    2.970
   0.45   17.030   17.090   17.331   -1.432   -2.884   -2.970   -1.432   -2.884    8.565    4.253    4.129    9.594    5.208
   0.50   16.552   16.588   16.909   -1.096   -3.281   -3.448   -1.096   -3.281   11.312    3.778    3.595   11.926    6.228
   0.55   17.131   17.171   17.501   -1.170   -3.382   -2.869   -1.170   -3.382    9.704    3.356    3.957   10.520    5.502
   0.60   16.658   16.670   16.950   -0.619   -3.067   -3.342   -0.619   -3.067   10.250    2.067    1.897   10.479    5.314
   0.65   16.991   17.062   17.359   -1.559   -3.193   -3.009   -1.559   -3.193    9.608    4.691    4.978   10.840    5.897
   0.70   16.015   16.063   16.322   -1.240   -2.898   -3.985   -1.240   -2.898   11.549    4.943    3.594   12.909    6.533
   0.75   16.490   16.551   16.807   -1.425   -2.924   -3.510   -1.425   -2.924   10.265    5.003    4.167   11.452    6.078
   0.80   16.367   16.435   16.702   -1.500   -2.971   -3.633   -1.500   -2.971   10.794    5.451    4.458   12.139    6.444
   0.85   17.113   17.119   17.248   -0.442   -2.103   -2.887   -0.442   -2.103    6.071    1.275    0.929    6.476    3.136
   0.90   16.873   16.901   17.065   -0.975   -2.358   -3.127   -0.975   -2.358    7.373    3.049    2.300    8.145    4.152
   0.95   17.141   17.168   17.292   -0.947   -2.071   -2.859   -0.947   -2.071    5.921    2.706    1.961    6.679    3.400
   1.00   17.023   17.052   17.205   -1.000   -2.286   -2.977   -1.000   -2.286    6.805    2.977    2.285    7.544    3.886
   1.05   16.676   16.684   16.847   -0.537   -2.338   -3.324   -0.537   -2.338    7.772    1.784    1.255    8.402    4.036
   1.10   16.762   16.765   16.978   -0.293   -2.679   -3.238   -0.293   -2.679    8.672    0.949    0.785    8.871    4.379
   1.15   16.807   16.825   17.023   -0.786   -2.587   -3.193   -0.786   -2.587    8.259    2.511    2.034    8.752    4.434
   1.20   17.130   17.139   17.434    0.557   -3.192   -2.870    0.557   -3.192    9.161   -1.599   -1.779    9.368    4.734
   1.25   16.849   16.851   17.027    0.264   -2.444   -3.151    0.264   -2.444    7.702   -0.831   -0.645    7.986    3.887
   1.30   16.967   16.969   17.160    0.253   -2.558   -3.033    0.253   -2.558    7.760   -0.767   -0.647    7.905    3.912
   1.35   17.241   17.242   17.457   -0.187   -2.729   -2.759   -0.187   -2.729    7.527    0.515    0.510    7.545    3.781
   1.40   17.890   17.890   18.032    0.058   -2.253   -2.110    0.058   -2.253    4.752   -0.122   -0.131    4.764    2.378
   1.45   17.097   17.097   17.247    0.050   -2.264   -2.903    0.050   -2.264    6.572   -0.145   -0.113    6.777    3.287
   1.50   17.102   17.104   17.251    0.299   -2.245   -2.898    0.299   -2.245    6.508   -0.868   -0.672    6.766    3.300
   1.55   16.791   16.794   16.921    0.351   -2.068   -3.209    0.351   -2.068    6.636   -1.126   -0.725    7.349    3.385
   1.60   16.599   16.601   16.787   -0.245   -2.491   -3.401   -0.245   -2.491    8.470    0.833    0.610    8.914    4.267
   1.65   16.224   16.226   16.481   -0.237   -2.889   -3.776   -0.237   -2.889   10.910    0.894    0.684   11.331    5.484
   1.70   16.256   16.272   16.433    0.709   -2.294   -3.744    0.709   -2.294    8.586   -2.655   -1.626    9.889    4.567
   1.75   16.154   16.168   16.321    0.693   -2.228   -3.846    0.693   -2.228    8.569   -2.666   -1.544   10.119    4.553
   1.80   15.738   15.741   15.793    0.304   -1.276   -4.262    0.304   -1.276    5.440   -1.295   -0.388    9.942    2.803
   1.85   15.266   15.266   15.320   -0.119   -1.278   -4.734   -0.119   -1.278    6.052    0.563    0.152   12.030    3.040
   1.90   15.800   15.801   15.864    0.157   -1.407   -4.200    0.157   -1.407    5.911   -0.659   -0.221    9.822    2.976
   1.95   16.081   16.081   16.132    0.072   -1.283   -3.919    0.072   -1.283    5.030   -0.284   -0.093    8.506    2.519
   2.00   16.119   16.152   16.219    1.024   -1.470   -3.881    1.024   -1.470    5.704   -3.973   -1.505    9.134    3.556
   2.05   16.581   16.663   16.713    1.648   -1.291   -3.419    1.648   -1.291    4.412   -5.634   -2.127    8.035    3.733
   2.10   16.764   16.858   16.915    1.785   -1.387   -3.236    1.785   -1.387    4.490   -5.777   -2.476    7.793    3.862
   2.15   16.581   16.655   16.656    1.564   -0.204   -3.419    1.564   -0.204    0.698   -5.346   -0.319    7.088    2.700
   2.20   17.316   17.421   17.423    1.911   -0.233   -2.684    1.911   -0.233    0.625   -5.130   -0.445    5.456    2.594
   2.25   17.282   17.340   17.343    1.411   -0.328   -2.718    1.411   -0.328    0.891   -3.836   -0.463    4.743    1.983
   2.30   17.116   17.148   17.150    1.057   -0.249   -2.884    1.057   -0.249    0.719   -3.048   -0.263    4.749    1.571
   2.35   17.196   17.257   17.280    1.444   -0.905   -2.804    1.444   -0.905    2.536   -4.050   -1.307    5.383    2.477
   2.40   17.413   17.497   17.510    1.715   -0.653   -2.587    1.715   -0.653    1.690   -4.437   -1.120    5.030    2.439
   2.45   18.496   18.649   18.664    2.385   -0.745   -1.504    2.385   -0.745    1.121   -3.587   -1.777    4.252    2.078
   2.50   18.694   18.734   18.753    1.221   -0.849   -1.306    1.221   -0.849    1.108   -1.595   -1.037    1.958    1.101
   2.55   18.372   18.397   18.398    0.947   -0.212   -1.628    0.947   -0.212    0.345   -1.542   -0.201    1.796    0.796
   2.60   18.450   18.463   18.480    0.693    0.800   -1.550    0.693    0.800   -1.241   -1.074    0.555    1.761    0.866
   2.65   18.864   18.879   18.882    0.751    0.347   -1.136    0.751    0.347   -0.394   -0.853    0.260    0.987    0.488
   2.70   19.184   19.196   19.198    0.692    0.233   -0.816    0.692    0.233   -0.190   -0.565    0.161    0.600    0.309
   2.75   19.112   19.131   19.131    0.847    0.122   -0.888    0.847    0.122   -0.108   -0.752    0.103    0.760    0.383
   2.80   18.849   18.869   18.873    0.854    0.386   -1.151    0.854    0.386   -0.444   -0.982    0.330    1.101    0.564
   2.85   18.561   18.561   18.569    0.127    0.530   -1.439    0.127    0.530   -0.762   -0.182    0.067    1.183    0.393
   2.90   19.388   19.414   19.414    0.996   -0.053   -0.612    0.996   -0.053    0.032   -0.610   -0.052    0.685    0.306
   2.95   19.806   19.841   19.861    1.177   -0.894   -0.194    1.177   -0.894    0.173   -0.228   -1.052    1.111    0.545
   3.00   20.585   20.650   20.688    1.628   -1.260    0.585    1.628   -1.260   -0.737    0.953   -2.051    2.290    1.189
   3.05   20.012   20.028   20.049    0.802   -0.911    0.012    0.802   -0.911   -0.011    0.010   -0.731    0.737    0.365
   3.10   19.430   19.435   19.475    0.449   -1.238   -0.570    0.449   -1.238    0.705   -0.256   -0.556    1.030    0.467
   3.15   19.117   19.118   19.121    0.252   -0.337   -0.883    0.252   -0.337    0.298   -0.222   -0.085    0.479    0.191
   3.20   19.079   19.115   19.122    1.177   -0.515   -0.921    1.177   -0.515    0.474   -1.084   -0.605    1.249    0.664
   3.25   19.049   19.135   19.140    1.814   -0.423   -0.951    1.814   -0.423    0.402   -1.724   -0.767    2.186    0.965
   3.30   19.394   19.475   19.478    1.767    0.368   -0.606    1.767    0.368   -0.223   -1.070    0.650    1.812    0.636
   3.35   20.041   20.119   20.119    1.768    0.011    0.041    1.768    0.011    0.000    0.073    0.019    1.564    0.038
   3.40   19.516   19.589   19.592    1.690    0.352   -0.484    1.690    0.352   -0.171   -0.819    0.596    1.608    0.513
   3.45   19.079   19.162   19.178    1.775    0.780   -0.921    1.775    0.780   -0.718   -1.634    1.385    2.304    1.130
   3.50   19.587   19.687   19.729    1.978    1.284   -0.413    1.978    1.284   -0.530   -0.817    2.539    2.866    1.360
   3.55   19.927   19.969   20.011    1.297    1.301   -0.073    1.297    1.301   -0.095   -0.095    1.687    1.690    0.846
   3.60   19.546   19.614   19.641    1.630    1.024   -0.454    1.630    1.024   -0.465   -0.740    1.670    1.957    0.942
   3.65   19.597   19.692   19.736    1.932    1.304   -0.403    1.932    1.304   -0.525   -0.778    2.518    2.797    1.344
   3.70   19.252   19.340   19.357    1.844    0.804   -0.748    1.844    0.804   -0.602   -1.379    1.484    2.304    1.057
   3.75   19.460   19.515   19.519    1.468    0.391   -0.540    1.468    0.391   -0.211   -0.793    0.574    1.299    0.501
   3.80   19.166   19.257   19.259    1.874    0.227   -0.834    1.874    0.227   -0.190   -1.563    0.426    2.130    0.816
   3.85   18.998   19.086   19.090    1.824    0.392   -1.002    1.824    0.392   -0.392   -1.827    0.715    2.243    1.000
   3.90   19.622   19.772   19.776    2.426    0.391   -0.378    2.426    0.391   -0.148   -0.916    0.949    3.090    0.664
   3.95   19.662   19.776   19.788    2.119    0.678   -0.338    2.119    0.678   -0.229   -0.715    1.436    2.531    0.810
   4.00   19.999   20.103   20.114    2.036    0.687   -0.001    2.036    0.687   -0.000   -0.001    1.398    2.309    0.699
   4.05   19.922   20.046   20.059    2.219    0.741   -0.078    2.219    0.741   -0.058   -0.172    1.644    2.739    0.827
   4.10   20.556   20.706   20.721    2.486    0.796    0.556    2.486    0.796    0.442    1.382    1.978    3.562    1.227
   4.15   20.198   20.374   20.393    2.669    0.874    0.198    2.669    0.874    0.173    0.529    2.333    3.963    1.199
   4.20   20.020   20.261   20.292    3.117    1.117    0.020    3.117    1.117    0.022    0.063    3.482    5.481    1.741
   4.25   20.431   20.692   20.694    3.280    0.282    0.431    3.280    0.282    0.122    1.412    0.925    5.511    0.846
   4.30   20.755   20.980   20.981    3.062    0.218    0.755    3.062    0.218    0.165    2.312    0.668    4.996    1.206
   4.35   20.725   20.906   20.906    2.740    0.023    0.725    2.740    0.023    0.017    1.987    0.063    4.016    0.994
   4.40   21.144   21.240   21.240    2.016   -0.043    1.144    2.016   -0.043   -0.050    2.307   -0.087    2.687    1.154
   4.45   21.217   21.326   21.353    2.151    1.069    1.217    2.151    1.069    1.302    2.619    2.301    3.627    1.861
   4.50   21.390   21.558   21.577    2.681    0.910    1.390    2.681    0.910    1.265    3.728    2.439    4.974    2.315
   4.55   21.218   21.484   21.505    3.367    0.945    1.218    3.367    0.945    1.152    4.102    3.183    6.857    2.659
   4.60   20.777   20.965   20.999    2.802    1.197    0.777    2.802    1.197    0.930    2.176    3.356    4.945    2.053
   4.65   20.915   21.076   21.161    2.599    1.893    0.915    2.599    1.893    1.732    2.378    4.920    5.587    2.866
